"household_id","hh_income","n_members","units_consumption","hh_composition","poverty"
1,31038.9,2,1.5,7,0
3,26620.4,2,2,11,0
4,20525,2,2,11,0
5,14070.5,2,1,6,0
6,35747.4,2,1.5,7,0
8,19339.8,2,1.8,11,0
9,30158.6,1,1.5,7,0
11,30655.88,2,1.5,8,0
12,-8713.5,2,1,5,1
13,42160,1,2.1,12,0
15,53640,2,1.5,8,0
16,81529,1,1.8,11,0
17,65300,2,1,2,0
19,30400,2,2.1,12,0
20,45985.9,2,2.4,13,0
21,19056,2,1,5,0
22,27258.2,2,1.5,7,0
23,55050,2,2,9,0
24,30471.7,2,1.5,7,0
25,48665.6,2,2.3,12,0
26,26902.7,2,1,3,0
27,61691,2,2.5,9,0
28,12803.8,2,2,9,1
29,21202.1,2,1,3,0
30,44448.2,2,1.5,7,0
31,37508.2,2,1,5,0
32,80780,2,2.1,12,0
33,19348.31,2,1.3,10,0
34,39290,2,2,9,0
36,64870.5,2,1.8,11,0
37,77817,1,2.1,12,0
38,35340,2,1.8,11,0
40,31238,1,2.7,13,0
41,19796.8,2,1,2,0
42,33061.85,2,1.8,11,0
43,32673.6,2,1,2,0
46,29666.2,2,1,6,0
47,45743.7,2,1.5,8,0
48,4527.24,2,1,2,1
49,75385.2,2,1.5,7,0
50,16724.6,2,1,2,0
51,51031.3,2,3,13,0
52,17443.5,2,1,3,0
53,47177.9,2,2.5,14,0
54,47023.3,2,2,9,0
55,10589.2,2,1,3,0
56,0,2,1,2,1
58,39057.4,2,2,11,0
60,11199.96,2,1.5,8,1
63,35854.75,2,1.5,7,0
64,15234,2,1.5,7,0
66,15670.9,2,1.5,8,0
67,39324.8,1,2.8,14,0
68,19475.5,2,1.5,8,0
69,7735.4,2,1,4,1
70,1965.2,2,1,6,1
71,3855,2,1,5,1
72,17520.56,2,2,9,1
74,12380.7,1,1.5,7,1
75,32259.9,2,2,9,0
79,29530,2,1,2,0
80,6812.03,2,1,5,1
81,10940.3,2,1.5,7,1
82,51961.6,2,2.1,12,0
83,19826.1,2,2.1,12,0
84,25654,2,2,9,0
85,19282.31,2,2,9,0
87,17690.8,2,1.5,8,0
88,56232.2,2,2.5,9,0
89,5740.4,2,1.5,8,1
90,25082.8,2,3.3,14,1
91,25954.6,2,2.3,12,0
92,15325.5,2,2,9,1
93,82758,2,2,11,0
94,0,1,1,1,1
95,22740.2,2,2,11,0
98,31809.02,2,2,9,0
99,41772.8,2,2.5,9,0
100,15560.4,2,1,6,0
101,23713.3,2,1.5,7,0
102,19731,2,1,2,0
103,51360.9,2,1.5,7,0
104,10098.4,2,2,11,1
105,26464.3,2,1.5,7,0
106,83090.9,2,2.1,12,0
107,39810.7,2,1.5,10,0
108,30759.9,2,1.5,8,0
109,12402.4,2,1,6,0
110,11767.3,2,1,6,0
111,39836.9,2,2,9,0
112,49132.59,2,2.6,13,0
113,27119.1,2,2,11,0
114,13641.18,2,1.5,7,0
115,30050.17,2,2.5,9,0
116,8868,2,1,6,1
117,25405.5,2,1.5,8,0
118,22968.4,2,1.5,7,0
119,8867.3,2,1,6,1
120,27007.8,2,1.5,8,0
121,13469.5,2,1.5,7,0
122,6814.1,2,1,5,1
123,16726.2,2,2.4,13,1
125,46198,2,1.8,11,0
126,15946,2,1.5,7,0
127,22359.7,2,2,11,0
128,20769,2,1.5,8,0
129,22429.1,2,1,3,0
130,9961,2,1.5,7,1
131,30887.8,2,1.5,7,0
132,61102.8,1,2.1,12,0
133,11913.4,2,1,2,0
134,23744.5,2,1.8,11,0
136,23850.49,2,2.1,12,0
137,19589.85,2,1.5,7,0
138,8008.9,2,1,5,1
140,29420.3,2,1.8,11,0
141,17609.2,1,2.3,12,1
142,3464.5,2,1,2,1
143,43716.7,2,2,9,0
144,25876.1,2,2.4,13,0
145,10668.05,1,1.5,7,1
146,921.5,2,1,5,1
147,35616.8,2,2.5,9,0
148,13954.7,2,1.5,7,0
149,15308.5,2,1.5,8,0
150,16637.6,2,2.3,12,1
151,13480.2,2,1.5,8,0
152,39739.5,1,2.5,12,0
153,12239,2,2,11,1
154,8830.6,2,2.3,12,1
155,27463.2,1,2.1,12,0
156,22747.1,1,2,11,0
157,13777.4,1,2,9,1
158,16707.9,2,1.8,11,0
159,827.3,2,1,3,1
160,46956.8,2,1,3,0
161,37234.6,2,1.8,11,0
162,13886.9,2,1.8,10,1
163,59881.1,2,1.5,8,0
164,1759.91,1,1,6,1
165,12977.8,2,2,9,1
168,20963.8,2,1.8,10,0
169,8990.4,2,1.5,7,1
170,25927.3,2,1.5,8,0
172,32759.7,2,1.8,11,0
173,0,2,2.9,14,1
174,13019.28,2,2.8,14,1
175,32317.7,2,4.4,14,1
176,3709.6,1,3.3,13,1
177,25870.1,1,2.6,14,0
178,15120.4,2,1.5,8,0
179,7684,2,2.9,14,1
180,18818.4,2,1,2,0
181,33407.3,1,2.8,13,0
183,15764.5,2,1.5,8,0
184,10703.5,1,1,6,0
185,132.66,2,1,2,1
186,9664.97,2,1,2,0
187,49047.5,2,2.8,14,0
188,10778.6,2,1,6,0
189,18879.5,2,1.5,8,0
190,22954.8,2,1.5,7,0
191,8327.1,1,1.5,7,1
192,9169.8,2,1.5,7,1
193,22966.9,1,2.1,12,0
194,24607.1,2,2.1,12,0
195,28372.74,1,1.8,11,0
196,26635.3,2,2,9,0
197,25485.4,2,2.1,12,0
198,28683.1,2,1.5,8,0
199,21796.5,2,2.1,12,0
200,22951,2,1.8,11,0
201,0,2,1,2,1
202,17270.39,2,2.4,13,1
203,16163.4,1,1.5,8,0
204,12381.6,2,1.5,7,1
205,63126.2,2,1.5,7,0
207,12084.58,2,1,5,0
208,33555.3,2,1.5,7,0
209,10684,2,1,6,0
210,16878.3,2,3.1,14,1
211,26090.6,2,1.5,7,0
213,66445.2,2,2.5,9,0
214,93711.2,2,3.1,14,0
215,28280.4,2,2.5,12,0
216,54470.2,2,2,9,0
217,56645.7,2,2,9,0
218,40166,2,1,2,0
220,12468.6,2,2.1,12,1
221,18683.7,2,1.8,11,0
222,19377.1,2,1.8,11,0
223,30303.9,2,2,9,0
224,8966.1,2,1,6,0
225,11788.3,2,1,5,0
226,48500.2,2,2,9,0
228,20809.6,2,1.8,11,0
229,34995.5,2,1,2,0
230,8947.2,2,1,6,0
231,13924.5,1,2,9,1
232,15913.8,2,2.5,12,1
233,19145.3,2,1,5,0
234,11555.5,2,1,6,0
235,32490.39,1,2,9,0
236,19358.6,2,2.5,14,1
237,12436.3,2,1,3,0
239,10109.3,2,2.1,12,1
240,22483.19,2,1.5,7,0
241,11790.3,2,1.5,7,1
242,7867.4,1,1,6,1
244,9045.6,2,1.5,8,1
245,33466.43,2,2.8,14,0
246,19506.5,1,2,9,0
247,14979.4,2,2,11,1
248,13515.8,2,1.8,11,1
249,36814,2,2,9,0
250,30723.6,2,2.5,9,0
251,8642,2,1.5,8,1
252,26528.9,2,2,9,0
253,10952,2,1,6,0
254,9182.1,1,1,6,0
255,21057.8,2,2.5,9,1
256,30297.2,2,1.5,8,0
