"person_id","household_id","year_born","sex","employed","retired","education","net_income","gross_income"
101,1,1949,1,0,1,300,0,0
102,1,1951,2,0,0,300,0,0
301,3,1965,2,1,0,500,18470.4,22095.67
302,3,1993,2,1,0,500,6240,7042.3
303,3,1996,2,0,0,344,2210,2396.34
401,4,1958,2,0,0,500,3120,3362.77
402,4,1991,2,1,0,500,5304,5751.23
403,4,1997,1,0,0,344,0,0
501,5,1938,2,0,0,0,0,0
601,6,1941,2,0,0,100,0,0
602,6,1971,2,1,0,500,26000,33732.85
801,8,1969,1,0,0,300,0,0
802,8,1967,2,1,0,500,0,0
803,8,2005,2,0,0,NA,NA,NA
901,9,1947,1,0,1,200,0,0
902,9,1945,2,0,0,0,0,0
1101,11,1983,1,1,0,500,17624.9,22141.9
1102,11,1989,2,1,0,500,12658.5,14962.9
1201,12,1982,2,1,0,500,0,0
1301,13,1971,1,1,0,200,29120,37700
1302,13,1973,2,1,0,300,12740,14632.95
1303,13,2008,1,0,0,NA,NA,NA
1304,13,2012,2,0,0,NA,NA,NA
1501,15,1976,1,1,0,500,27300,35288.99
1502,15,1971,2,1,0,500,19500,23807.82
1601,16,1980,1,1,0,500,50700,73925.56
1602,16,1981,2,1,0,500,26000,33270.35
1603,16,2015,2,0,0,NA,NA,NA
1701,17,1979,1,1,0,500,65000,93834.96
1901,19,1978,2,1,0,200,18200,21772.2
1902,19,1977,1,1,0,0,11700,12813.2
1903,19,2011,1,0,0,NA,NA,NA
1904,19,2015,1,0,0,NA,NA,NA
2001,20,1984,1,1,0,200,36257,49421.06
2002,20,1986,2,0,0,500,0,0
2003,20,2013,1,0,0,NA,NA,NA
2004,20,2015,2,0,0,NA,NA,NA
2005,20,2015,2,0,0,NA,NA,NA
2101,21,1978,2,1,0,500,18226,22295
2201,22,1953,2,0,0,100,0,0
2202,22,1948,1,0,1,0,0,0
2301,23,1962,1,1,0,500,27950,37103.45
2302,23,1959,2,0,0,200,0,0
2303,23,1993,2,1,0,500,26000,33732.85
2401,24,1948,1,0,1,500,0,0
2402,24,1947,2,0,0,100,0,0
2501,25,1966,1,1,0,200,22750,28021.38
2502,25,2001,1,0,0,200,0,0
2503,25,1971,2,1,0,500,25625.6,32747.41
2504,25,2004,1,0,0,NA,NA,NA
2601,26,1949,1,0,1,100,0,0
2701,27,1953,2,0,1,300,0,0
2702,27,1951,1,0,1,500,0,0
2703,27,1989,2,1,0,354,9360,10313.14
2704,27,1932,2,0,1,100,0,0
2801,28,1952,2,0,1,300,0,0
2802,28,1932,2,0,1,100,0,0
2803,28,1966,1,1,0,300,0,0
2901,29,1946,1,0,1,500,0,0
3001,30,1949,2,0,1,500,0,0
3002,30,1984,1,1,0,344,14560,17029.45
3101,31,1954,2,0,1,500,0,0
3201,32,1973,1,1,0,500,55380,65000
3202,32,1973,2,1,0,500,25350,27040
3203,32,2009,1,0,0,NA,NA,NA
3204,32,2011,1,0,0,NA,NA,NA
3301,33,1976,2,1,0,500,11050,12559.78
3302,33,2008,2,0,0,NA,NA,NA
3401,34,1963,1,1,0,500,23660,30645.08
3402,34,1968,2,0,0,300,0,0
3403,34,1989,1,1,0,344,14300,16813.78
3601,36,1982,2,0,0,500,19234.8,23010.1
3602,36,1982,1,1,0,500,45500,66343.45
3603,36,2015,1,0,0,NA,NA,NA
3701,37,1978,1,1,0,500,42250,57633.57
3702,37,1980,2,1,0,500,34320,45660.75
3703,37,2011,2,0,0,NA,NA,NA
3704,37,2014,2,0,0,NA,NA,NA
3801,38,1978,1,1,0,300,17160,23400
3802,38,1978,2,1,0,500,16380,20020
3803,38,2016,2,0,0,NA,NA,NA
4001,40,1957,1,1,0,100,26390,33800
4002,40,1983,2,0,0,200,0,0
4003,40,2006,1,0,0,NA,NA,NA
4004,40,2008,2,0,0,NA,NA,NA
4005,40,2014,2,0,0,NA,NA,NA
4006,40,2016,1,0,0,NA,NA,NA
4101,41,1953,1,0,1,100,0,0
4201,42,1985,1,1,0,200,21840,27300
4202,42,2016,2,0,0,NA,NA,NA
4203,42,1982,2,1,0,500,10721.84,11800.05
4301,43,1981,1,1,0,500,32159.6,44133.3
4601,46,1945,2,0,1,500,0,0
4701,47,1954,2,0,0,300,0,0
4702,47,1955,1,1,0,500,28809.8,34698.8
4801,48,1953,1,0,1,300,0,0
4901,49,1935,1,0,1,500,0,0
4902,49,1938,2,0,0,500,0,0
5001,50,1957,1,1,0,300,20706.4,25629.7
5101,51,1961,1,1,0,500,0,0
5102,51,1968,2,1,0,500,21505.5,26303.1
5103,51,1994,2,0,0,500,81.2,91.1
5104,51,1998,2,0,0,344,18.8,21.1
5105,51,2002,2,0,0,NA,NA,NA
5201,52,1937,1,0,1,200,0,0
5301,53,1969,2,1,0,500,31942.7,42139.4
5302,53,1966,1,1,0,300,0,0
5303,53,1996,1,0,0,500,0,0
5304,53,1998,1,0,0,344,0,0
5401,54,1962,2,1,0,100,5289.7,5648.7
5402,54,1954,1,1,0,100,23798.4,30935.1
5403,54,1983,1,1,0,200,16552.2,20194.1
5501,55,1945,1,0,1,100,0,0
5601,56,1973,1,0,0,200,0,0
5801,58,1970,1,1,0,500,23898,33739
5802,58,1969,2,1,0,500,18225.8,21888.8
5803,58,2001,2,0,0,200,0,0
6001,60,1974,1,1,0,100,9066.6,9352.7
6002,60,1978,2,1,0,300,9600,9600
6301,63,1939,1,0,1,300,0,0
6302,63,1944,2,0,1,300,0,0
6401,64,1989,1,1,0,200,429.7,466.7
6402,64,1946,1,0,1,100,0,0
6601,66,1959,2,1,0,200,13403.3,14627.9
6602,66,1992,1,1,0,500,797.1,870.6
6701,67,1971,2,1,0,300,18182.4,20548.8
6702,67,1971,1,1,0,500,19730.4,23080.3
6703,67,1999,1,0,0,200,99.6,108.7
6704,67,2003,1,0,0,NA,NA,NA
6705,67,2009,2,0,0,NA,NA,NA
6801,68,1969,1,1,0,500,17315.3,20261.5
6802,68,1975,2,1,0,300,1590.6,1736.4
6901,69,1994,2,1,0,500,7570.8,8262.5
7001,70,1951,2,0,1,100,0,0
7101,71,1964,2,0,0,200,0,0
7201,72,1959,1,1,0,200,9193.6,9816.9
7202,72,1960,2,0,0,200,2279.66,2471.88
7203,72,1997,1,0,0,344,0,0
7401,74,1944,2,0,1,100,0,0
7402,74,1940,1,0,0,0,0,0
7501,75,1962,1,0,1,200,0,0
7502,75,1964,2,1,0,200,0,0
7503,75,1992,2,1,0,500,5026.4,5500.7
7901,79,1966,1,1,0,200,8092.3,8092.3
8001,80,1971,2,1,0,200,7636.1,7636.1
8101,81,1939,1,0,1,0,0,0
8102,81,1937,2,0,0,0,0,0
8201,82,1980,1,1,0,500,25886,33768.3
8202,82,1980,2,1,0,500,23491.8,30141.1
8203,82,2012,2,0,0,NA,NA,NA
8204,82,2014,1,0,0,NA,NA,NA
8301,83,1974,2,1,0,500,0,0
8302,83,1975,1,1,0,200,15380.4,16897.4
8303,83,2007,1,0,0,NA,NA,NA
